NU_CTE_COD	EDAD	CD_ESTADO	CD_POSTAL	CD_SEXO
H7GCJ072	44	SO	83104	M
4SLT5RX6	45	EM	55635	M
5W0EQKTZ	36	DF	11320	M
4YZFFFLN	59	DF	04369	M
U70TACAL	26	EM	54680	M
MXYP6D50	28	YU	97208	M
UUNC0RJX	36	SO	84010	F
MTPP7ASN	37	BN	21970	F
UQP3554P	32	DF	02860	M
9FH6G2G8	30	SO	83200	F
EXDLMXD4	44	JA	46798	M
GQGR27BE	28	JA	44987	F
4V86B0TA	41	BS	23205	F
RGYG1K6S	29	VE	94140	F
G49CA0W7	44	GU	36730	M
2NJPZJ77	53	EM	52787	F
5FNTJJQ6	42	SO	83177	M
U7B23FHH	35	EM	55100	M
4HZQKKUN	50	TA	86320	M
16RSTZES	66	SI	82872	F
QM981ZDE	19	MO	62763	F
GFQSM3FN	37	EM	55767	F
W4K6K05B	40	SI	81890	M
P5UH8SUS	21	NA	63117	F
Q9QV07WB	27	NL	67528	M
2TK50EWE	43	CU	25760	F
USN093ZX	49	GU	36790	F
YB1MLY4T	36	DF	11590	F
YFSB0JCD	24	CU	27010	M
SNM2KT0G	25	SO	84065	F
FDU4SQT1	48	NL	64750	F
ZZ5L619X	52	SO	83000	F
K82EZMKL	37	DF	01730	F
URPQ3KMP	27	MO	62743	M
EJ1NKQB0	29	EM	54030	F
1JYE02Y0	61	NA	63195	M
MHDS2992	25	DF	14240	M
UQU27Y6B	35	JA	44710	F
E0C7ZHDU	48	DF	11480	M
ZM5LUSKT	30	PU	72810	F
MG7PC3P7	30	DF	03400	M
L9FDTR3Y	36	SI	80140	M
F5A03XAQ	40	JA	45900	M
YCSKR5QN	24	NL	64750	F
MWVFTSBD	51	HI	43816	F
40C3S90Y	48	PU	74680	M
0TPXU0PT	48	SO	85140	M
0EP96YD3	28	VE	91602	F
FHAMKX7D	46	JA	45133	F
DV5Q0J2X	39	CH	33924	M
6K0PSU6K	47	DF	01700	M
AD10CYY4	48	SI	82000	F
C6A2ZWEP	31	SL	78040	F
KJPC58KE	27	PU	72210	M
EKLBVNVK	45	CS	29070	F
6VQCJBLE	35	EM	50010	M
60KXJZ2S	53	CA	24460	F
0MNXBHXN	56	EM	56335	M
MP5FJBXN	23	TM	89506	M
46TQ7XVH	50	YU	97189	M
D98G8XVC	37	GU	37210	M
WQP36EA3	30	PU	72960	M
GCNTDGB0	31	DF	11460	M
F1CREGMD	46	EM	55767	M
CR5AUJ5Y	34	DF	01490	F
BJB0Y62R	40	BN	22707	F
03R0RHA0	43	EM	55070	M
HS00AZ9T	45	CS	29140	F
8K090PSG	45	YU	97205	F
05NF8XB9	29	TL	90454	F
JQ0SSSPH	29	DF	07090	M
RQNLRW1T	59	EM	54769	F
VXJRWP5U	31	NL	67195	M
QMEHHRJN	25	AG	20126	M
UJD4B970	26	CU	25100	M
9TB81J0Q	46	DF	06760	M
VK0Q0NMW	30	MO	62130	M
T2TXD5ZB	65	SO	83137	M
FNJSAJX5	32	SL	78230	M
YU9FJPY5	25	DF	13420	M
X0NY29TR	55	DF	07230	F
M0JRXYBC	30	DF	09200	F
AFQ170LH	38	DF	08700	F
50FUH4PD	41	QU	76137	M
MRN9Y5RZ	31	GU	37900	F
ZU5S30R5	30	GU	37450	M
H777US3E	29	DF	07839	F
MBZ8VLRA	29	DF	11230	F
WJ0S4A94	29	PU	72200	F
ZR1LCS2U	38	GU	37295	F
M576F5CY	47	TA	86029	F
WTKA776B	26	EM	57300	F
F1E93C4X	36	NL	66446	M
X30PWJXV	31	NL	66648	F
0ZUJF0S8	49	DF	09940	M
VYPZM6AU	42	BN	22813	M
UU1FZQDH	33	EM	57460	F
MXDFCWTJ	57	SO	85154	M
MWL8AR0G	26	EM	55060	F
RS0PEJV0	23	DU	34100	F
302XYCYL	47	AG	20909	M
0ZWY5NAL	55	TM	89430	F
UT2W58LR	37	NL	66369	F
0D0GSVEW	44	MO	62764	M
S3U63YT1	20	DF	16300	M
ELQ8GTJZ	33	MI	58341	F
Z5JR5JFS	43	TM	89318	F
CT0MD0TZ	31	HI	42086	M
7Z70WY71	32	YU	97197	F
QDR1FA37	35	DF	08700	F
6SGZ8BAH	43	EM	50100	M
8HD40FMA	29	TM	88400	F
J3H5P8TU	30	BN	22666	M
ZGTQ4J38	29	CH	31604	M
R4099N72	19	NL	67266	F
6BA0LRLF	26	JA	48900	M
HQ02KUY1	32	TM	87394	M
YBXR0KNF	40	OA	70610	F
3B8YXKXG	61	CA	24114	F
ECDJF2A4	56	VE	91700	M
D0L0Y8AE	34	CO	28200	F
3WU91RY7	52	EM	54600	M
D2V09G7A	29	CU	25294	F
82LRRW9S	50	ZA	98053	M
5B0416A1	56	YU	97590	M
9V4V4K10	35	NL	67267	M
80FLBKB2	64	EM	54910	F
US7EHXHB	28	CH	31646	M
28JCC5FP	54	EM	54150	M
WQJWQWHL	36	JA	46440	M
PMVLVRRS	21	DF	01290	M
XLQZP8D0	30	NL	65563	F
BDLN6N50	36	CA	24027	F
XLP03RD5	22	JA	45413	M
QHBT25MV	20	CU	26748	F
W0Z90CE0	29	SI	80430	F
FPF0UG0H	45	SO	84600	M
D07Q078R	29	JA	45402	M
V52RL6UQ	30	PU	72498	M
CEZM27GM	48	TA	86600	F
P23NKVD5	41	YU	97314	F
LJQXVNCF	22	NL	66005	M
4FBMC0F5	50	CS	30798	F
Z02A3GL1	24	EM	53690	F
HTPXBKMU	36	TL	90370	M
JDZBUK66	31	AG	20907	F
GXEDGF8X	50	JA	45602	M
AN1FKRLZ	67	DF	04910	F
DRJHWE9S	28	CH	33029	M
71MNMA28	43	EM	55490	M
N0J0XMDT	22	QU	76087	M
Y9HXA0MG	43	DF	09360	M
U0QMM70F	47	PU	72490	M
RRTF25X5	19	YU	97700	F
8VDM1RG0	38	DF	07010	F
2VK430TY	69	EM	52928	M
3PPUUVTX	50	SI	82430	M
KN1GGL6S	28	QU	76650	F
YZ0K8K60	42	CH	32580	M
21A0TAP6	47	DF	11430	F
3Q0YPUT0	43	DF	06300	M
M830L2PH	24	OA	70610	F
5JP0Q836	58	TA	86030	F
ZU235E7P	33	DF	09130	M
GNV0ST5J	53	TM	88285	M
7X44F3ZB	66	EM	53240	F
WUDWX8RR	27	JA	45417	M
9A6E7N8S	30	DF	08400	F
J07R430L	30	DF	14200	F
AGBYDXB2	45	TA	86280	M
84PPG03Y	53	EM	55736	M
FYZFBF0N	32	QR	77760	M
892MXRWM	75	EM	50010	F
BBKWRSE7	34	TL	90432	M
QLNKYLHC	23	DF	03660	F
HKL9SMFV	27	EM	55767	M
W4KVKLX5	50	MO	62795	F
L36K71AM	26	TA	86150	M
5UF37AJE	49	CS	30798	F
13PEWEP4	60	CH	31100	F
VN62G7XS	42	TM	89348	M
R0PF74U3	23	CU	25016	M
J4XQDDY4	23	VE	93400	M
3YZFZW3Q	49	EM	51470	F
FU7ZBF0T	33	BN	21470	F
F8SA154X	42	QR	77536	M
TCNJQ70M	55	SL	78433	M
UPH0D4SX	43	QU	76902	F
9NRGJ7GW	42	BN	22842	F
4701TYKX	38	DF	02720	M
CQ3FML2Q	58	NA	63130	M
72UJS0NT	48	DF	15900	F
D0BQ00GQ	31	EM	55763	M
KJ15NSTR	23	TA	86275	M
XP5C57QJ	30	SI	81870	M
BA7UPYP6	35	CA	24327	M
AYLB7Q0Q	35	EM	54170	F
JKBDU4WZ	34	SL	78433	F
EJBFBE2L	34	CH	33470	F
D8Q4GF1J	33	CO	28237	F
0UWG5WSY	45	HI	42850	F
L52YF001	35	PU	72477	F
SMZC5MB0	21	OA	68274	F
WUUX0L6W	26	NL	66119	M
PZ02C4DQ	22	CU	27993	M
5D2ESEMS	37	SO	85096	F
A6NPZLQS	36	PU	72480	F
050WVW74	36	EM	55713	M
0BYZDXBN	33	NL	66050	M
MMDEM6Y4	22	JA	44950	M
BTN0RBPH	42	NL	66437	F
05EWN4C0	28	MO	62000	M
WBMFBK6A	35	CA	24020	M
PV0ZG1LA	51	DF	14650	M
Y7LYEY4T	51	EM	53250	F
J59DP5JN	33	SO	85430	F
KBQTH6GQ	22	DF	10320	M
X06SHU0R	38	JA	48290	F
PRG2ZKU8	20	QR	77723	F
KNF8NV9K	26	QU	76805	M
9CQ1AP9D	39	EM	55055	F
HJ4MJCWM	28	CH	31060	F
9HD8E5TH	57	JA	45110	F
G24WDV5M	41	JA	45134	M
BGNDNTVY	42	EM	55339	F
ZZ2WXJ05	21	CH	32575	F
SCQ0E7A1	23	DF	07320	F
LBQJ553P	25	TM	87050	M
PU6LJ5C6	26	QU	76902	M
151U3BHG	65	NA	63555	F
568UFTLA	43	JA	49540	F
52P01G45	51	MO	62000	F
ENMN3HSM	39	QU	76903	F
R9AM01EP	25	EM	52105	F
SWTFYK1Z	19	EM	50020	M
FG0QAANC	54	VE	91809	M
DJ2CE6WA	30	EM	54715	M
XGJ40KCS	37	HI	43800	F
983GUGKZ	41	EM	52203	F
YN28BZYM	45	CH	31000	M
055NKQB0	37	SI	82110	F
2060Z91N	71	GU	36600	F
A164PVFE	36	EM	54910	M
9T0Y8AEM	23	JA	44987	M
0DST11YP	30	AG	20255	F
02WDFT8R	34	EM	50400	F
RH64UCPU	33	GO	40095	M
40PVLUJS	68	DF	01820	F
9URS09T6	38	BN	22024	F
HJKQ04DV	27	EM	55885	M
BG6JYY04	30	JA	45116	F
PU9SQ8G3	42	DF	03100	F
P106UW9V	37	GU	37545	F
H86XJ08T	28	TA	86500	M
FS6ZL3BG	27	DF	11800	F
JBVSDEV4	55	DF	03500	F
D1417P0Z	30	GU	37108	F
XM73YJHC	28	EM	50423	F
SKH8H81M	19	MI	60950	F
PGGFU0Z6	20	SO	84279	F
3VDXXU85	44	QU	76138	F
EAC9PDR3	41	BS	23444	M
10HY4CM0	81	CU	27130	M
S3XVWK5X	32	EM	57500	F
GPXW8LXJ	39	MI	60270	F
UL0QV68S	34	DF	01110	M
VWSUB0J0	31	GU	38400	F
TE5HXWVV	52	TM	87314	F
HZ7W8QCZ	25	OA	70988	F
TVZVATG1	35	EM	56356	M
SEG5DVTL	56	NL	67770	F
2JJRH5DF	43	EM	54070	M
RR0HEQW5	41	EM	54090	M
XLP0X38W	34	NL	67140	F
V0TJ6YNL	30	QR	77667	F
G0FY0JWR	33	SO	85499	F
GUYLDM3S	52	GU	37526	M
81R6TT7T	33	CU	27054	F
MHT3L3DY	24	DF	06760	M
J9V8PWTH	64	JA	44760	M
0WVJ02HN	79	DF	06100	F
GEWAXV0H	35	VE	91040	M
BRNQARKV	36	TA	86029	F
NAG0V53Q	38	DF	08800	M
0TH5EXY0	46	CS	29049	F
0KP05FXK	82	JA	45050	F
AB90QUGL	17	BS	23300	F
10YLWGP2	63	DF	11590	M
QSW6DA94	25	NL	64102	F
0FBX3AAH	43	TL	90117	F
33M6G1Z7	49	DF	15530	F
DEG4Y6H0	57	EM	55390	F
L619VDUX	23	VE	91605	M
XSSADDS5	33	GU	37289	F
G37XQ8VC	27	QU	76700	F
Z29AANW0	27	OA	70110	M
BN87N6VU	36	MO	62240	F
3YMWRJZD	37	CU	27110	M
U0TP6JTD	31	EM	54060	F
PHLS7YEG	21	DF	07500	F
3XNUE160	69	JA	45185	F
WA6LU8G3	20	CH	31414	M
DA602BHR	34	DF	03400	F
W3MAV21S	31	BS	23437	M
QC0XN3KG	27	NL	66473	F
17GPK1P5	70	SL	78378	F
2WGD4HER	61	HI	42182	M
3JY11QA7	53	BN	22680	F
DPTR3F81	29	YU	97370	F
CLAV0WPL	46	TA	86290	F
TKPBLRBL	26	OA	70000	M
0N9X42YD	42	DF	02980	M
CPL09JE8	34	EM	53698	F
69FJY0AK	47	TM	88730	F
N20SSLDA	43	EM	50550	M
YD46YQNS	29	SI	80019	F
7YF8S9HH	47	EM	55120	M
CGZMK8AJ	27	JA	45599	M
RDL659H7	20	EM	53490	F
KCNWYEVJ	33	BN	22190	M
W47K0V4N	48	EM	50423	F
U1PQBTGJ	25	SO	85195	F
LHR86731	26	BS	23010	F
CUFGF6AZ	34	EM	53619	F
TZDM2BFF	42	CH	31034	M
WK2SJD0W	23	JA	45200	F
06G01PGN	44	DU	35048	M
UAU5SNHZ	22	DF	09000	F
0P52TZXX	44	DF	08710	M
6WX16U8U	39	JA	45680	F
X80ZNUUK	27	CU	25280	F
00ZV737B	36	SL	78270	F
GG7TV8CZ	26	CU	25000	M
WQ2WXTJ0	25	JA	45133	M
0B3RCJU1	24	JA	47180	M
27KEDWCU	76	SO	83448	M
PRQWBTER	20	EM	54960	M
WXU25D6T	25	AG	20660	F
WSKPQYGW	27	JA	44130	F
FTWP4SN4	35	DF	03100	M
XYS9VX2R	32	DF	01010	F
LC20BW71	27	TA	86400	M
K2YJFF8Z	22	TA	86246	M
RCGYV8YY	24	BN	21395	M
DNZH0WZL	33	EM	53378	M
AMVSDX1D	32	VE	91808	M
CBWA2DDC	31	EM	55994	M
E0GTSQ62	39	DF	08400	M
M4P92QP0	28	JA	48290	F
JR5ELR1S	32	AG	20050	F
2GPB518P	47	EM	57100	F
6E43MHAB	33	DF	07100	F
ZMY2A760	53	VE	95300	F
JT0R6LBU	28	EM	54935	M
03D4Y8E7	25	CH	31137	M
H8A3AVX6	33	DF	01290	F
HDSU79F8	34	PU	72400	M
4YQVN1S4	43	JA	45640	F
J6EFG5ST	29	SL	78340	F
0RD5RZD8	57	EM	52779	F
Y0VZT511	28	HI	42084	M
ECQXLJSU	36	NL	64260	M
9MAAR3NT	41	GU	38600	F
7B0FE22G	38	JA	45609	M
ETQNNTTS	27	BN	22420	M
HRTT8ZLH	29	DF	07730	F
H9GFV5QY	26	DF	16515	F
A113M5F7	48	TM	88943	F
493036J4	50	PU	72030	F
45HHYWT9	42	JA	45050	M
E6N6URK2	32	DF	15210	F
WDKUTXMD	40	SO	83116	F
990NVEQN	50	DU	34160	F
9M7TS6YT	45	JA	44320	M
ZRV3AUXD	37	CU	27000	F
VKZY845D	45	DF	08000	F
2G3ZUEDF	50	EM	50210	M
25N2HGVF	48	EM	50210	F
MJ1YVSK8	22	BN	21505	F
SNSB0WDT	49	BS	23960	F
D8HPLJAP	50	DF	04800	F
KUAG9605	28	DF	01780	F
D2P3H8H3	29	AG	20150	M
W6K6UNVU	28	EM	54740	F
81J8J7ZG	50	EM	52787	M
7H4RU4KN	49	DF	07920	F
BEKKQ6RM	51	JA	44730	F
QET0RT7K	25	QR	77520	M
G512EY66	30	DF	06720	F
SF5NRGLM	19	EM	55767	M
2V0QU6DU	51	SO	85190	M
5MZ20D8Y	50	NA	63200	F
MLB9QJWS	51	VE	94290	F
8HEW87A0	35	EM	54090	F
UXEVW0AR	30	MI	61650	F
5KM217ZY	46	CU	25630	F
ZJ2VF4VY	21	NL	67257	M
PF96D7NE	24	PU	72825	M
3JWJB0UQ	79	YU	97110	M
AUPVGB0V	36	QR	77712	M
M9LSGTEK	23	CS	29370	M
2T33XJND	84	GU	38060	M
KH9G05L5	32	EM	53970	M
LD57R40Y	60	SO	83340	F
1BY8S5G4	52	SI	81410	F
000HGYNG	44	DF	11800	F
QDJKR374	21	BN	22205	F
CTQYFLQV	53	TM	88715	F
TVH9FM8N	23	JA	48530	F
DFKZCHYY	65	QR	77537	M
A9T4CLET	59	EM	53718	M
KPF8MGTM	28	TM	87380	M
UYV2F872	28	EM	54743	M
VSZMBAY1	24	CH	32677	M
JW3VZM7S	63	QU	76288	F
5FFV0Y8N	66	EM	52918	F
0KPKCBEX	64	QU	76910	M
JJZR390U	29	JA	45180	M
24J0PJF7	48	GU	36595	M
KQGK4LDA	24	BN	22205	M
BCNM0V82	35	DF	09510	M
9NMUMTER	46	CH	32685	F
DMZ9RDTX	31	DF	09180	M
NP10BU8H	29	TM	89280	F
M25764BW	34	GU	37227	F
J3L837MD	29	CU	27160	M
735B94T4	64	JA	49055	F
AFJFMR0S	37	DF	07750	M
XLVTP38E	55	BN	22106	M
H28M0WUF	33	OA	68363	M
P88ZJ1Q7	58	EM	55710	M
8G8YEBUF	53	CH	31100	M
1RQ2F85A	61	DF	09260	M
WTUV29F8	50	EM	54695	M
H6BEFGFQ	46	BN	22205	F
52Z4HJX0	36	EM	55800	M
SE1JGBMB	19	VE	93828	M
FCR3WKAY	55	DF	04100	F
GSYQE070	29	ZA	98400	F
ASR4C95K	48	NL	64346	F
0MEFG50M	47	MO	62588	F
B8QDHZNZ	40	HI	42390	M
WRLF1QE2	31	TL	90500	M
S826E9C2	20	CU	27083	?
09QXL6P5	44	HI	42034	F
SP0L4F7C	30	DF	06720	M
GJ0DKPBR	48	CH	33100	F
GSDFCH0C	37	GU	36557	F
DN8E2YFN	30	CU	27100	M
26G3VSM6	53	NL	66670	M
U58PRTSL	27	AG	20345	F
D9N205L0	36	BS	23880	F
4L04ZVQU	50	EM	54070	F
NWHDJVEK	22	GO	39715	F
MPM610Z5	21	QU	76900	M
YTPUU6J6	26	EM	54760	M
502MJZAV	46	EM	55749	M
JHQ09KUY	43	YU	97255	M
L2LGF9M8	50	JA	47930	F
GNJYGV90	29	DF	15400	F
3VSPFLLU	48	YU	97144	M
U5DVMBPM	25	DF	11320	M
JB0PQSVD	32	EM	55310	F
Y9MBNB13	25	AG	20040	F
4AQ3GJY8	44	YU	97630	M
1NLMBKK2	35	JA	44950	M
UXEXXUH9	30	BN	22170	M
WYZLFJK5	31	VE	91500	F
VFWQTUZG	34	QU	76223	M
ME1KYHXL	22	PU	75240	F
Q0HU5B93	31	CS	29290	M
7B1RZ70H	35	HI	43350	M
1SSFWNEM	71	YU	97138	M
W5YHR5CV	42	DF	09220	F
NEVHS1RY	26	CH	31115	F
7QF1YSCD	44	GU	37340	F
D363N0TW	38	EM	53660	F
XVU90KEE	24	DF	01010	F
G95VATKQ	28	EM	55719	F
3A529W4H	56	CU	27299	M
D083ZZ02	42	DF	15270	F
TVQJR2MD	33	DU	35049	M
Z1F6F1D0	49	SO	85097	M
U0L3UR9Q	30	EM	54265	M
AFBQNYN0	42	CH	31590	M
M2BPUM8Z	18	DF	04800	F
6VWXJJZA	44	VE	91020	M
4U6A2036	50	PU	72495	M
JYJCV9PG	54	EM	50060	F
UW3FKKXR	31	MI	58685	M
YFF2DT7S	20	HI	42000	F
NFTFF5NP	24	EM	54929	M
73KKFLJL	42	JA	48530	M
MVGK0FN0	28	MI	58256	F
7FWKSAKX	39	NL	64345	F
6AYF2VQF	60	VE	91028	F
65XJ4S7X	35	GU	36670	F
90F2F4J3	35	EM	54766	M
D0RTV6RC	38	TM	88758	M
M94EXWWS	27	TM	89348	F
XQ0KEXGG	30	DF	01010	F
2V7L7UER	57	NL	66495	M
FETSDZGB	28	JA	45540	F
A9SX2RA8	38	CH	32330	F
5N9HJ2B0	39	JA	45950	M
MD90E4QV	57	DF	14429	F
TLQKR840	27	NL	64350	F
G4G60RVF	34	DF	03530	F
T24NYCX4	40	YU	97230	F
BJH54GWY	39	CH	32670	M
0F1QZN03	46	YU	97249	M
DF1NWCDJ	60	NA	63784	M
Z73MXH32	28	QU	76246	M
GCP88X9W	26	BS	23920	F
3Q77NVQ9	36	MI	60090	M
30K0J7YM	43	JA	45643	F
NF9TWNCU	34	EM	50150	F
XJBR3UB8	31	DF	03300	M
X33L1KDM	33	JA	45645	M
BC7FD6MP	82	DF	01170	F
8VENNAVB	31	GU	38000	M
R14LJJEK	19	CU	25640	F
KSNE5B06	80	DF	04300	F
CMCG3400	30	CU	27058	F
YKVAECFQ	24	OA	68026	M
P7L165JN	21	CU	25115	M
TQQMXVUT	28	NL	67750	M
7JA1EMNW	48	VE	96757	M
D9BSLGTM	40	VE	91715	F
VX1AHL3N	43	BS	23444	F
TJ815VQH	28	BN	22116	M
CGVE2C5T	30	AG	20436	F
SZM0UW9E	23	TA	86608	M
QBFGNB3J	22	EM	54890	M
ESF62U0B	32	NA	63195	M
67AHJ0RY	48	DF	09700	F
XD97QM0W	29	JA	45085	F
EPFEEWM1	32	DF	03300	M
0J903QPE	55	DF	11550	M
PYFBN5UK	22	MO	62260	M
P1GWGXJY	26	NL	66635	M
97E8FABK	38	BN	22245	F
BCVZMCGC	32	MI	59610	F
1RXD3UE0	74	TM	88910	M
KAWP02A5	34	JA	44810	M
83374UP2	86	EM	52977	M
JAPANZRJ	44	DF	11500	F
4ZHP66VP	74	CU	25284	F
HBCB6PBM	28	GU	37800	F
SSQ824W3	25	GU	36555	F
26VJ9X72	75	BS	23070	F
7EWEHS3E	41	SI	81240	M
J5BWVKGS	24	NL	66645	?
C4E4EA1K	26	GO	40095	F
3ELSG888	34	DF	03300	F
C61H6Q36	53	BN	22430	F
FTSA3829	37	VE	93320	M
QMXVC3HK	20	CA	24130	F
HY6ZTSX3	37	HI	43696	F
5GT4GCT4	40	NL	64769	M
DXUT5T3V	33	TM	88400	F
7U29DGMX	46	CH	31050	F
0JJ2YQCW	31	QU	76000	M
MR0R816X	22	VE	91698	F
DNQ0HWJD	40	CH	31184	F
ZHD4P8CE	53	SO	85210	M
RN31S50T	47	DF	11410	F
R8RBZNKH	38	TA	86090	F
27Y0F1G8	47	DF	08100	M
PR67NZ3W	30	CS	29630	M
DFDPRH0T	33	TM	88220	F
LGXG2WBK	25	DF	09208	F
V0CYA93B	28	QU	76260	M
JGH47LXP	25	EM	52910	F
XBGW4WTL	38	YU	97203	M
P81TH6CK	21	BN	21350	F
92XFJ6Z4	54	DF	09710	F
8FAN0TA4	32	MI	58048	F
6PQXRPBN	57	GU	36826	M
1Z4J65E4	55	CU	26530	F
YDBCJUDM	56	SI	80140	M
GZTQDN89	51	NL	67128	F
ARSLHL48	33	SL	78180	F
0G47MG1Y	32	CU	27405	M
D55G5LJ8	31	VE	94399	M
0W5PX2ZH	68	EM	53840	F
6DRJEC0D	42	PU	72310	F
VHZGZK74	27	BN	22235	F
K2JBJ3W9	26	SI	81285	M
MDJRGN6W	22	DU	34700	F
P4Z7CG40	30	HI	42180	F
3D1B5XTH	50	BN	22215	F
N21GC0JX	44	DF	08100	F
WFUPDG1M	23	SL	79050	M
WPL0XP0G	24	JA	44300	M
BQJENBJY	33	EM	55418	F
5P5L9CSH	45	DF	08830	F
X9SFTFLY	46	CH	31375	M
GC1DFWCV	26	CU	27000	F
M2Z9GKL1	39	EM	54090	F
AJ5WF99T	39	JA	44460	M
M00BB6NN	31	CU	25088	F
KVS4F8N2	32	GU	37237	M
DU64WADN	57	VE	92513	F
N70AK3SE	26	CU	25020	M
UKFLU15B	27	EM	55660	F
S0EEK8VR	44	GU	37238	M
MZRK2CEL	30	DF	04369	F
388ABJKQ	48	EM	50740	F
EH42XSNX	28	MO	62250	F
394JA3U5	44	DF	11270	M
UYD1W6JJ	30	MO	62450	F
RSG25GKV	42	SI	82410	F
4NNVLW70	40	BN	22110	F
W0XSKXE1	26	GU	36775	F
YJV4SMPP	25	DU	35067	F
M4X1M1TT	32	JA	44298	F
8DEAX9EF	37	MO	62730	M
0Q3FCKRL	46	VE	95870	M
T0D0ZFYC	39	GO	39931	?
YANE708R	35	BN	22706	F
AHYDQJWP	43	DF	09225	M
2326ZGTP	59	EM	54870	M
W3UA4CV2	27	EM	55749	M
F5EX6DKP	29	CH	32170	M
HYGE7K90	25	MI	60950	M
APVNGVXX	72	EM	56353	M
9MDDDKWQ	77	CU	27450	F
FFA0VMGZ	31	EM	55270	F
EFH1P9GP	51	AG	20341	M
ZVEHYW3U	19	CH	32370	F
0YMU7RVW	71	NA	63120	F
YQ5G37VU	24	DU	35190	M
L8C4CCN8	28	TM	88403	M
NQ5H61BA	61	SI	81226	M
6H4LYMKX	49	EM	54715	F
MR8ZJL54	25	GU	37712	M
3H5AZMYD	57	MI	60000	F
T9JRC95F	26	GO	40902	F
QBPMH101	20	CH	31527	F
